timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,int_x,int_y,int_z,ref_mask
1258910003456,-0.0346081,0.0489235,0.0127738,0.00527441,0.171094,0.0578798,1.47451,-1.76574,-0.626687,0.991702,0.123312,0.031373,-0.0183827,-0.0211758,0.00061588,0.209705,0.0201485,-0.0724614,0.393862,0,0,0,0.0081424,-0.00970134,0.135417,1
1258930013120,-0.0344414,0.0509073,0.0133983,0.0227291,0.162082,0.047008,1.45701,0.25221,-1.19923,0.991784,0.122654,0.0313392,-0.0184774,-0.0211758,0.00061588,0.209705,0.0198984,-0.0754371,0.392613,0,0,0,0.00821378,-0.0108702,0.138642,1
1258950006048,-0.0337997,0.0549415,0.0143941,0.0271067,0.170267,0.039046,0.383409,-0.194178,0.0184385,0.992026,0.120718,0.0311372,-0.0185922,-0.0211758,0.00061588,0.209705,0.0189359,-0.0814884,0.390621,0,0,0,0.00820704,-0.0114359,0.140288,1
1258970010656,-0.0382534,0.0474305,0.00198121,-0.0257269,0.0948723,-0.076106,-1.8999,0.692713,-1.2964,0.992464,0.11669,0.0325541,-0.0185715,-0.0211758,0.00061588,0.209705,0.0256164,-0.0702219,0.415447,0,0,0,0.00816753,-0.0126533,0.143689,1
1258990006592,-0.0390553,0.0498263,-7.2274e-05,-0.0360661,0.096824,-0.100136,-0.360025,-1.55793,-3.3233,0.992616,0.115217,0.0333155,-0.0183127,-0.0211758,0.00061588,0.209705,0.0268193,-0.0738156,0.419554,0,0,0,0.00832105,-0.0131469,0.146628,1
1259010004512,-0.0399804,0.0519963,-0.0027016,-0.0392347,0.0891236,-0.114726,0.403796,-0.227911,-1.4317,0.992729,0.113911,0.0345413,-0.0181293,-0.0211758,0.00061588,0.209705,0.0282069,-0.0770706,0.424813,0,0,0,0.00862467,-0.0139708,0.151646,1
1259030009632,-0.0386879,0.0447537,0.0165967,-0.020052,-0.00401391,0.0690405,0.482768,-3.18691,3.08158,0.993116,0.110727,0.0338197,-0.0179792,-0.0211758,0.00061588,0.209705,0.0262681,-0.0662067,0.386216,0,0,0,0.00894634,-0.0147635,0.156793,1
1259050007648,-0.03942,0.0445903,0.0189813,-0.0387931,0.00782735,0.0978118,-1.00264,1.4957,0.578607,0.993185,0.110198,0.0333209,-0.0183386,-0.0211758,0.00061588,0.209705,0.0273663,-0.0659617,0.381447,0,0,0,0.00905644,-0.0149113,0.158301,1
1259070016928,-0.0399137,0.0447212,0.0201842,-0.0439656,0.0141114,0.103824,0.135654,-0.4424,0.429063,0.993234,0.109872,0.0328416,-0.0185061,-0.0211758,0.00061588,0.209705,0.0281069,-0.066158,0.379041,0,0,0,0.0094164,-0.0153128,0.161387,1
1259090023008,-0.0409387,0.045122,0.0226651,-0.0450703,0.0200424,0.103267,-1.03026,-0.22004,0.265915,0.993234,0.110173,0.0319149,-0.018401,-0.0211758,0.00061588,0.209705,0.0296444,-0.0667591,0.374079,0,0,0,0.0095884,-0.0155043,0.162701,1
1259110007552,-0.042334,0.0451881,0.0215794,-0.0243495,-0.018716,0.0760131,1.49526,-2.69862,0.738539,0.993103,0.111243,0.0314804,-0.0195459,-0.0211758,0.00061588,0.209705,0.0317374,-0.0668583,0.376251,0,0,0,0.00994563,-0.0159194,0.165291,1
1259130012288,-0.0425747,0.0449019,0.0224832,-0.0165469,-0.0298985,0.0775412,-0.169691,0.798849,-0.478919,0.9931,0.111347,0.0311354,-0.0196992,-0.0211758,0.00061588,0.209705,0.0320985,-0.0664291,0.374443,0,0,0,0.0102509,-0.0161814,0.168559,1
1259150013280,-0.0430621,0.0444904,0.0241915,-0.0278548,0.00590442,0.0644775,-1.45261,4.20665,-0.512166,0.992999,0.112255,0.0306008,-0.0204913,-0.0211758,0.00061588,0.209705,0.0328295,-0.0658118,0.371027,0,0,0,0.0103654,-0.0162674,0.169957,1
1259170000896,-0.0417379,0.0622184,0.0286596,-0.021588,0.135249,0.060754,0.142412,-0.412265,-0.594149,0.992563,0.1165,0.0294276,-0.0196297,-0.0211758,0.00061588,0.209705,0.0308432,-0.0924037,0.36209,0,0,0,0.0106572,-0.0166122,0.172905,1
1259189998048,-0.042039,0.0642532,0.0295587,-0.0176544,0.129992,0.0564404,0.370338,-0.273064,0.03187,0.992493,0.117089,0.0294144,-0.0196836,-0.0211758,0.00061588,0.209705,0.0312948,-0.095456,0.360292,0,0,0,0.0109122,-0.0177194,0.175836,1
1259210003520,-0.0424338,0.0672688,0.0309681,-0.0189442,0.129826,0.0635464,-0.628417,0.627708,-0.0383356,0.992494,0.117012,0.029581,-0.0198211,-0.0211758,0.00061588,0.209705,0.0318871,-0.0999794,0.357474,0,0,0,0.0110624,-0.0184112,0.1777,1
1259230013248,-0.0426818,0.0689028,0.0317043,-0.022533,0.143513,0.0596229,0.0280445,1.66199,-0.618016,0.992514,0.116865,0.0295167,-0.019818,-0.0211758,0.00061588,0.209705,0.032259,-0.10243,0.356001,0,0,0,0.0113008,-0.019489,0.180458,1
