timestamp,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,est_qw,est_qx,est_qy,est_qz,des_px,des_py,des_pz,des_vx,des_vy,des_vz,des_ax,des_ay,des_az,disturb_x,disturb_y,disturb_z
1695216171123143072,-0.0462018,0.0226289,-0.145992,-0.0862722,0.0246806,0.0246398,0.0876111,0.058542,0.00377204,0.706898,0.0118799,-0.0780593,-0.702895,-0.00323517,-0.00932515,-0.132991,0,0,0.00921,0,0,0,-0.290538,0.0994142,-1.32089
1695216171135652992,-0.0462018,0.0226289,-0.145992,-0.0862722,0.0246806,0.0246398,0.0876111,0.058542,0.00377204,0.706898,0.0118799,-0.0780593,-0.702895,-0.00323517,-0.00932515,-0.132991,0,0,0.00921,0,0,0,-0.298356,0.100288,-1.34141
1695216171143158240,-0.0462018,0.0226289,-0.145992,-0.0862722,0.0246806,0.0246398,0.0876111,0.058542,0.00377204,0.706898,0.0118799,-0.0780593,-0.702895,-0.00323517,-0.00932515,-0.172991,0,0,-0.0215994,0,0,0,-0.307063,0.10207,-1.36135
1695216171152997536,-0.0462018,0.0226289,-0.145992,-0.0862722,0.0246806,0.0246398,0.0876111,0.058542,0.00377204,0.706898,0.0118799,-0.0780593,-0.702895,-0.00323517,-0.00932515,-0.172991,0,0,-0.0215994,0,0,0,-0.316642,0.104772,-1.38063
1695216171163378688,-0.0502432,0.0241409,-0.146769,-0.0689133,0.0032769,0.00470361,-0.00286213,0.245243,0.00474294,0.707425,0.0146555,-0.075454,-0.702597,-0.00323517,-0.00932515,-0.172991,0,0,-0.0215994,0,0,0,-0.324547,0.105411,-1.40078
1695216171173102112,-0.0502432,0.0241409,-0.146769,-0.0689133,0.0032769,0.00470361,-0.00286213,0.245243,0.00474294,0.707425,0.0146555,-0.075454,-0.702597,-0.00323517,-0.00932515,-0.172991,0,0,-0.0215994,0,0,0,-0.333842,0.107096,-1.42003
1695216171183117376,-0.0502432,0.0241409,-0.146769,-0.0689133,0.0032769,0.00470361,-0.00286213,0.245243,0.00474294,0.707425,0.0146555,-0.075454,-0.702597,-0.00323517,-0.00932515,-0.172991,0,0,-0.0215994,0,0,0,-0.344405,0.109844,-1.43833
1695216171196376320,-0.0502432,0.0241409,-0.146769,-0.0689133,0.0032769,0.00470361,-0.00286213,0.245243,0.00474294,0.707425,0.0146555,-0.075454,-0.702597,-0.00323517,-0.00932515,-0.212991,0,0,-0.0529771,0,0,0,-0.356217,0.113691,-1.4555
1695216171203508384,-0.0502432,0.0241409,-0.146769,-0.0689133,0.0032769,0.00470361,-0.00286213,0.245243,0.00474294,0.707425,0.0146555,-0.075454,-0.702597,-0.00323517,-0.00932515,-0.212991,0,0,-0.0529771,0,0,0,-0.369219,0.118644,-1.47136
1695216171213347072,-0.0541832,0.0251198,-0.148657,-0.0482724,-0.00907295,-0.0421516,-0.203586,0.494828,0.02629,0.708993,0.0209293,-0.0637977,-0.702012,-0.00323517,-0.00932515,-0.212991,0,0,-0.0529771,0,0,0,-0.378104,0.121909,-1.49043
1695216171223005088,-0.0541832,0.0251198,-0.148657,-0.0482724,-0.00907295,-0.0421516,-0.203586,0.494828,0.02629,0.708993,0.0209293,-0.0637977,-0.702012,-0.00323517,-0.00932515,-0.212991,0,0,-0.0529771,0,0,0,-0.388772,0.126139,-1.50811
1695216171235459296,-0.0541832,0.0251198,-0.148657,-0.0482724,-0.00907295,-0.0421516,-0.203586,0.494828,0.02629,0.708993,0.0209293,-0.0637977,-0.702012,-0.00323517,-0.00932515,-0.212991,0,0,-0.0529771,0,0,0,-0.400877,0.131218,-1.52446
1695216171243131072,-0.0541832,0.0251198,-0.148657,-0.0482724,-0.00907295,-0.0421516,-0.203586,0.494828,0.02629,0.708993,0.0209293,-0.0637977,-0.702012,-0.00323517,-0.00932515,-0.252991,0,0,-0.083467,0,0,0,-0.414392,0.137155,-1.53921
1695216171253185472,-0.0571378,0.0254751,-0.152245,-0.0395528,-0.0124329,-0.0953741,-0.168811,0.616784,0.0468403,0.710546,0.0259203,-0.0529006,-0.70118,-0.00323517,-0.00932515,-0.252991,0,0,-0.083467,0,0,0,-0.423861,0.14158,-1.55769
1695216171263046720,-0.0576442,0.0255044,-0.153221,-0.0308492,-0.013182,-0.106224,-0.186916,0.494297,0.0331765,0.710969,0.0276549,-0.0491033,-0.700962,-0.00323517,-0.00932515,-0.252991,0,0,-0.083467,0,0,0,-0.433108,0.146355,-1.57602
1695216171273317792,-0.0576442,0.0255044,-0.153221,-0.0308492,-0.013182,-0.106224,-0.186916,0.494297,0.0331765,0.710969,0.0276549,-0.0491033,-0.700962,-0.00323517,-0.00932515,-0.252991,0,0,-0.083467,0,0,0,-0.443797,0.151536,-1.59324
1695216171283060864,-0.0576442,0.0255044,-0.153221,-0.0308492,-0.013182,-0.106224,-0.186916,0.494297,0.0331765,0.710969,0.0276549,-0.0491033,-0.700962,-0.00323517,-0.00932515,-0.252991,0,0,-0.083467,0,0,0,-0.455904,0.157077,-1.60922
1695216171293001056,-0.0576442,0.0255044,-0.153221,-0.0308492,-0.013182,-0.106224,-0.186916,0.494297,0.0331765,0.710969,0.0276549,-0.0491033,-0.700962,-0.00323517,-0.00932515,-0.292991,0,0,-0.111816,0,0,0,-0.469478,0.162966,-1.6237
1695216171303233216,-0.0591997,0.0255072,-0.158635,-0.0221125,-0.0121286,-0.184195,-0.0516802,0.21699,0.0757439,0.712418,0.0307137,-0.0433393,-0.699742,-0.00323517,-0.00932515,-0.292991,0,0,-0.111816,0,0,0,-0.476789,0.166722,-1.6434
1695216171312912768,-0.0591997,0.0255072,-0.158635,-0.0221125,-0.0121286,-0.184195,-0.0516802,0.21699,0.0757439,0.712418,0.0307137,-0.0433393,-0.699742,-0.00323517,-0.00932515,-0.292991,0,0,-0.111816,0,0,0,-0.485599,0.170746,-1.66213
1695216171325878528,-0.0591997,0.0255072,-0.158635,-0.0221125,-0.0121286,-0.184195,-0.0516802,0.21699,0.0757439,0.712418,0.0307137,-0.0433393,-0.699742,-0.00323517,-0.00932515,-0.292991,0,0,-0.111816,0,0,0,-0.49545,0.174804,-1.68017
1695216171333404640,-0.0591997,0.0255072,-0.158635,-0.0221125,-0.0121286,-0.184195,-0.0516802,0.21699,0.0757439,0.712418,0.0307137,-0.0433393,-0.699742,-0.00323517,-0.00932515,-0.292991,0,0,-0.111816,0,0,0,-0.506424,0.178881,-1.69739
1695216171343003648,-0.0591997,0.0255072,-0.158635,-0.0221125,-0.0121286,-0.184195,-0.0516802,0.21699,0.0757439,0.712418,0.0307137,-0.0433393,-0.699742,-0.00323517,-0.00932515,-0.332991,0,0,-0.139485,0,0,0,-0.518603,0.182957,-1.71365
1695216171356753216,-0.0601253,0.0252816,-0.16587,-0.013799,-0.0123279,-0.215704,-0.0290956,0.0117803,0.066387,0.71347,0.0307557,-0.0416945,-0.698768,-0.00323517,-0.00932515,-0.332991,0,0,-0.139485,0,0,0,-0.527408,0.1861,-1.7323
1695216171363189056,-0.0602874,0.0251791,-0.167916,-0.0133469,-0.0148836,-0.227229,-0.0290956,0.0117803,0.066387,0.71347,0.0307557,-0.0416945,-0.698768,-0.00323517,-0.00932515,-0.332991,0,0,-0.139485,0,0,0,-0.536926,0.188485,-1.75063
1695216171372958080,-0.0602874,0.0251791,-0.167916,-0.0133469,-0.0148836,-0.227229,-0.0290956,0.0117803,0.066387,0.71347,0.0307557,-0.0416945,-0.698768,-0.00323517,-0.00932515,-0.332991,0,0,-0.139485,0,0,0,-0.547924,0.190837,-1.76796
1695216171385457824,-0.0602874,0.0251791,-0.167916,-0.0133469,-0.0148836,-0.227229,-0.0290956,0.0117803,0.066387,0.71347,0.0307557,-0.0416945,-0.698768,-0.00323517,-0.00932515,-0.332991,0,0,-0.139485,0,0,0,-0.56039,0.19309,-1.78416
1695216171393492096,-0.0602874,0.0251791,-0.167916,-0.0133469,-0.0148836,-0.227229,-0.0290956,0.0117803,0.066387,0.71347,0.0307557,-0.0416945,-0.698768,-0.00323517,-0.00932515,-0.372991,0,0,-0.16406,0,0,0,-0.574455,0.195201,-1.79889
1695216171407112352,-0.0605774,0.0245917,-0.177109,-0.000230335,-0.018125,-0.26251,0.122304,-0.126203,0.00172641,0.713817,0.0305492,-0.0429691,-0.698345,-0.00323517,-0.00932515,-0.372991,0,0,-0.16406,0,0,0,-0.582201,0.195683,-1.81798
1695216171413291680,-0.0605774,0.0245917,-0.177109,-0.000230335,-0.018125,-0.26251,0.122304,-0.126203,0.00172641,0.713817,0.0305492,-0.0429691,-0.698345,-0.00323517,-0.00932515,-0.372991,0,0,-0.16406,0,0,0,-0.592471,0.196086,-1.83566
1695216171423167520,-0.0605774,0.0245917,-0.177109,-0.000230335,-0.018125,-0.26251,0.122304,-0.126203,0.00172641,0.713817,0.0305492,-0.0429691,-0.698345,-0.00323517,-0.00932515,-0.372991,0,0,-0.16406,0,0,0,-0.605024,0.196307,-1.85169
1695216171433002528,-0.0605774,0.0245917,-0.177109,-0.000230335,-0.018125,-0.26251,0.122304,-0.126203,0.00172641,0.713817,0.0305492,-0.0429691,-0.698345,-0.00323517,-0.00932515,-0.372991,0,0,-0.16406,0,0,0,-0.620201,0.196281,-1.86515
1695216171446544288,-0.0605774,0.0245917,-0.177109,-0.000230335,-0.018125,-0.26251,0.122304,-0.126203,0.00172641,0.713817,0.0305492,-0.0429691,-0.698345,-0.00323517,-0.00932515,-0.412991,0,0,-0.188705,0,0,0,-0.638008,0.195939,-1.87476
1695216171453696064,-0.060079,0.0235964,-0.187853,0.0102767,-0.0268795,-0.296229,0.0621032,-0.219121,-0.011089,0.713846,0.0291319,-0.0468622,-0.698126,-0.00323517,-0.00932515,-0.412991,0,0,-0.188705,0,0,0,-0.646305,0.191548,-1.8928
1695216171463051424,-0.060079,0.0235964,-0.187853,0.0102767,-0.0268795,-0.296229,0.0621032,-0.219121,-0.011089,0.713846,0.0291319,-0.0468622,-0.698126,-0.00323517,-0.00932515,-0.412991,0,0,-0.188705,0,0,0,-0.659398,0.18606,-1.90719
